,DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS_2015,CTE_HOURS_2015,CTE_AVG_2015,ALL_STUDENTS_2015,ALL_HOURS_2015,ALL_AVG_2015,CTE_STUDENTS_2016,CTE_HOURS_2016,CTE_AVG_2016,ALL_STUDENTS_2016,ALL_HOURS_2016,ALL_AVG_2016,CTE_STUDENTS_2017,CTE_HOURS_2017,CTE_AVG_2017,ALL_STUDENTS_2017,ALL_HOURS_2017,ALL_AVG_2017,CTE_STUDENTS_2018,CTE_HOURS_2018,CTE_AVG_2018,ALL_STUDENTS_2018,ALL_HOURS_2018,ALL_AVG_2018
0,1902,3101100,PRECALCULUS (PRE CALC),9,36,4.0,18,54,3.0,9,27,3.0,9,27,3.0,13,75,5.8,13,75,5.8,15,45,3.0,15,45,3.0
1,1902,3220300,ENGLISH III (ENG 3),12,48,4.0,12,48,4.0,18,54,3.0,11,66,6.0,14,84,6.0,15,87,5.8,15,90,6.0,17,102,6.0
2,1902,3220400,ENGLISH IV (ENG 4),10,57,5.7,14,81,5.8,7,21,3.0,6,24,4.0,15,84,5.6,15,84,5.6,15,81,5.4,15,81,5.4
3,1902,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3.0,3,3,3.0,10,30,3.0,12,36,3.0,12,36,3.0,12,36,3.0,6,18,3.0,6,18,3.0
4,1902,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3.0,3,3,3.0,12,36,3.0,13,39,3.0,14,42,3.0,15,45,3.0,6,18,3.0,6,18,3.0
5,1902,3340100,US HISTORY STUDIES SINCE 1877,9,36,4.0,9,36,4.0,6,6,6.0,6,6,6.0,15,90,6.0,16,96,6.0,19,111,5.8,21,123,5.9
6,1902,13009900,PROFESSIONAL COMMUNICATIONS,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,,,,,,,3,3,3.0,3,3,3.0
7,1904,3220300,ENGLISH III (ENG 3),10,30,3.0,12,72,6.0,15,45,3.0,15,45,3.0,14,81,5.8,16,93,5.8,24,111,4.6,25,117,4.7
8,1904,3220400,ENGLISH IV (ENG 4),11,33,3.0,11,33,3.0,15,84,5.6,15,84,5.6,13,63,4.8,13,63,4.8,19,72,3.8,19,72,3.8
9,1904,3241400,COMMUNICATION APPLICATIONS,3,3,3.0,3,3,3.0,,,,,,,,,,,,,3,3,3.0,3,3,3.0
10,1904,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3.0,3,3,3.0,3,12,4.0,3,12,4.0,,,,,,,5,15,3.0,5,15,3.0
11,1904,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,4.5,4.5,4.5,10,36,3.6,12,42,3.5
12,1904,3340100,US HISTORY STUDIES SINCE 1877,3,3,3.0,6,24,4.0,3,3,3.0,3,3,3.0,7,21,3.0,7,21,3.0,3,12,4.0,3,12,4.0
13,1904,3350100,PSYCHOLOGY (PSYCH),3,12,4.0,11,33,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,,,,,,
14,1904,13014300,HUMAN GROWTH & DEVELOP,14,42,3.0,14,42,3.0,26,78,3.0,27,81,3.0,,,,,,,11,33,3.0,11,33,3.0
15,1904,13020400,HEALTH SCIENCE,7,14,2.0,7,14,2.0,,,,,,,,,,,,,,,,,,
16,1906,3101100,PRECALCULUS (PRE CALC),3,3,3.0,3,3,3.0,4.5,4.5,4.5,4.5,4.5,4.5,6,6,6.0,6,6,6.0,6,6,6.0,6,6,6.0
17,1906,3102500,INDEP STUDY IN MATH (1ST TIME),3,3,3.0,3,3,3.0,,,,,,,,,,,,,,,,,,
18,1906,3220300,ENGLISH III (ENG 3),6,24,4.0,10,30,3.0,9,27,3.0,15,45,3.0,6,18,3.0,6,18,3.0,11,57,5.2,11,57,5.2
19,1906,3220400,ENGLISH IV (ENG 4),6,18,3.0,6,18,3.0,12,48,4.0,12,48,4.0,11,60,5.5,11,60,5.5,15,45,3.0,15,45,3.0
20,1906,3221500,LITERARY GENRES (LIT GENR),3,3,3.0,3,3,3.0,,,,,,,,,,,,,,,,,,
21,1906,3241400,COMMUNICATION APPLICATIONS,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,5,15,3.0,5,15,3.0,3,3,3.0,3,3,3.0
22,1906,3330100,UNITED STATES GOVERNMENT (GOVT,3,12,4.0,5,15,3.0,11,33,3.0,9,36,4.0,3,12,4.0,6,18,3.0,7,21,3.0,7,21,3.0
23,1906,3340100,US HISTORY STUDIES SINCE 1877,13,39,3.0,12,57,4.8,10,30,3.0,14,42,3.0,18,54,3.0,18,54,3.0,11,33,3.0,10,36,3.6
24,1906,3350100,PSYCHOLOGY (PSYCH),9,27,3.0,10,30,3.0,3,3,3.0,3,3,3.0,14,42,3.0,14,42,3.0,6,18,3.0,6,18,3.0
25,1906,3370100,SOCIOLOGY (SOC),3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0
26,1906,3380001,SOCIAL STUDIES ADV (1ST TIME),7,21,3.0,7,21,3.0,,,,,,,,,,,,,,,,,,
27,1906,3500100,ART I (ART 1),3,3,3.0,3,3,3.0,3,12,4.0,3,12,4.0,3,3,3.0,3,3,3.0,11,33,3.0,12,36,3.0
