REPORT_DISTRICT,REPORT_DISTNAME,REPORT_CHARTER_STATUS,BLANK_COLUMN,DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS,CTE_HOURS,CTE_AVG,ALL_STUDENTS,ALL_HOURS,ALL_AVG
001902,CAYUGA ISD,TRADITIONAL ISD/CSD,,001902,03101100,PRECALCULUS (PRE CALC),-999,36,-999.0,-999,54,-999.0
,,,,001902,03220300,ENGLISH III (ENG 3),-999,48,-999.0,-999,48,-999.0
,,,,001902,03220400,ENGLISH IV (ENG 4),10,57,5.7,14,81,5.8
,,,,001902,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,-999,3.0,-999,-999,3.0
,,,,001902,03330100,UNITED STATES GOVERNMENT (GOVT,-999,-999,3.0,-999,-999,3.0
,,,,001902,03340100,US HISTORY STUDIES SINCE 1877,-999,36,-999.0,-999,36,-999.0
,,,,001902,13009900,PROFESSIONAL COMMUNICATIONS,-999,-999,3.0,-999,-999,3.0
Total,,,,001902,,,36,189,5.3,43,231,5.4
,,,,001902,,,,,,,,
001904,FRANKSTON ISD,TRADITIONAL ISD/CSD,,001904,03220300,ENGLISH III (ENG 3),-999,30,-999.0,12,72,6.0
,,,,001904,03220400,ENGLISH IV (ENG 4),-999,33,-999.0,-999,33,-999.0
,,,,001904,03241400,COMMUNICATION APPLICATIONS,-999,-999,3.0,-999,-999,3.0
,,,,001904,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,-999,3.0,-999,-999,3.0
,,,,001904,03330100,UNITED STATES GOVERNMENT (GOVT,-999,-999,3.0,-999,-999,3.0
,,,,001904,03340100,US HISTORY STUDIES SINCE 1877,-999,-999,3.0,-999,24,-999.0
,,,,001904,03350100,PSYCHOLOGY (PSYCH),-999,12,-999.0,11,33,3.0
,,,,001904,03380021,SOCIAL STUDIES ADV (2ND TIME),,0,,-999,-999,3.0
,,,,001904,13014300,HUMAN GROWTH & DEVELOP,14,42,3.0,14,42,3.0
,,,,001904,13020400,HEALTH SCIENCE,-999,14,-999.0,-999,14,-999.0
Total,,,,001904,,,41,146,3.6,63,233,3.7
,,,,001904,,,,,,,,
001906,NECHES ISD,TRADITIONAL ISD/CSD,,001906,03101100,PRECALCULUS (PRE CALC),-999,-999,3.0,-999,-999,3.0
